Mnemonic      Mnemonic description
YRPROF6  HOW MANY YEARS R BORN A MEMBER OF PROFESSIONAL SOCIETY6
YRCHURH1 HOW MANY YEARS R BORN A MEMBER OF CHURCH GROUP1
YRCHURH2 HOW MANY YEARS R BORN A MEMBER OF CHURCH GROUP2
YRCHURH3 HOW MANY YEARS R BORN A MEMBER OF CHURCH GROUP3
YRCHURH4 HOW MANY YEARS R BORN A MEMBER OF CHURCH GROUP4
YRCHURH5 HOW MANY YEARS R BORN A MEMBER OF CHURCH GROUP5
YRCHURH6 HOW MANY YEARS R BORN A MEMBER OF CHURCH GROUP6
YROTHER1 HOW MANY YEARS R BORN A MEMBER OF OTHER GROUP1
YROTHER2 HOW MANY YEARS R BORN A MEMBER OF OTHER GROUP2
YROTHER3 HOW MANY YEARS R BORN A MEMBER OF OTHER GROUP3
YROTHER4 HOW MANY YEARS R BORN A MEMBER OF OTHER GROUP4
YROTHER5 HOW MANY YEARS R BORN A MEMBER OF OTHER GROUP5
YRINFRM1 HOW MANY YEARS R BORN A MEMBER OF INFORMAL GROUP1
YRINFRM2 HOW MANY YEARS R BORN A MEMBER OF INFORMAL GROUP2
YRINFRM3 HOW MANY YEARS R BORN A MEMBER OF INFORMAL GROUP3
YRINFRM4 HOW MANY YEARS R BORN A MEMBER OF INFORMAL GROUP4
YRINFRM5 HOW MANY YEARS R BORN A MEMBER OF INFORMAL GROUP5
MTFRAT1  HOW MANY YEARS R BORN A MEMBER OF FRATERNITY GROUP1
MTFRAT2  HOW MANY YEARS R BORN A MEMBER OF FRATERNITY GROUP2
MTFRAT3  HOW MANY YEARS R BORN A MEMBER OF FRATERNITY GROUP3
MTFRAT4  HOW MANY YEARS R BORN A MEMBER OF FRATERNITY GROUP4
MTSERV1  SERVICE CLUB1 MEETS IN THIS AREA
MTSERV2  SERVICE CLUB2 MEETS IN THIS AREA
MTSERV3  SERVICE CLUB3 MEETS IN THIS AREA
MTSERV4  SERVICE CLUB4 MEETS IN THIS AREA
MTSERV5  SERVICE CLUB5 MEETS IN THIS AREA
MTSERV6  SERVICE CLUB6 MEETS IN THIS AREA
MTSERV7  SERVICE CLUB7 MEETS IN THIS AREA
MTSERV8  SERVICE CLUB8 MEETS IN THIS AREA
MTVET1   VETERAN GROUP1 MEETS IN THIS AREA
MTVET2   VETERAN GROUP2 MEETS IN THIS AREA
MTVET3   VETERAN GROUP3 MEETS IN THIS AREA
MTVET4   VETERAN GROUP4 MEETS IN THIS AREA
MTVET5   VETERAN GROUP5 MEETS IN THIS AREA
                                        Page 70   Index
MTPOLIT1 POLITICAL CLUB1 MEETS IN THIS AREA
MTPOLIT2 POLITICAL CLUB2 MEETS IN THIS AREA
MTPOLIT3 POLITICAL CLUB3 MEETS IN THIS AREA
MTUNION1 LABOR UNION1 MEETS IN THIS AREA
MTUNION2 LABOR UNION2 MEETS IN THIS AREA
MTUNION3 LABOR UNION3 MEETS IN THIS AREA
MTUNION4 LABOR UNION4 MEETS IN THIS AREA
MTSPORT1 SPORT CLUB1 MEETS IN THIS AREA
MTSPORT2 SPORT CLUB2 MEETS IN THIS AREA
MTSPORT3 SPORT CLUB3 MEETS IN THIS AREA
MTSPORT4 SPORT CLUB4 MEETS IN THIS AREA
MTSPORT5 SPORT CLUB5 MEETS IN THIS AREA
MTSPORT6 SPORT CLUB6 MEETS IN THIS AREA
MTYOUTH1 YOUTH GROUP1 MEETS IN THIS AREA
MTYOUTH2 YOUTH GROUP2 MEETS IN THIS AREA
MTYOUTH3 YOUTH GROUP3 MEETS IN THIS AREA
MTYOUTH4 YOUTH GROUP4 MEETS IN THIS AREA
MTYOUTH5 YOUTH GROUP5 MEETS IN THIS AREA
MTSCHL1  SCHOOL SERVICE GROUP1 MEETS IN THIS AREA
MTSCHL2  SCHOOL SERVICE GROUP2 MEETS IN THIS AREA
MTSCHL3  SCHOOL SERVICE GROUP3 MEETS IN THIS AREA
MTSCHL4  SCHOOL SERVICE GROUP4 MEETS IN THIS AREA
MTHOBBY1 HOBBY CLUB1 MEETS IN THIS AREA
MTHOBBY2 HOBBY CLUB2 MEETS IN THIS AREA
MTHOBBY3 HOBBY CLUB3 MEETS IN THIS AREA
MTGREEK1 SCHOOL FRARTERNITY1 MEETS IN THIS AREA
MTGREEK2 SCHOOL FRARTERNITY2 MEETS IN THIS AREA
MTGREEK3 SCHOOL FRARTERNITY3 MEETS IN THIS AREA
MTNAT1   NATIONALITY GROUP1 MEETS IN THIS AREA
MTNAT2   NATIONALITY GROUP2 MEETS IN THIS AREA
MTNAT3   NATIONALITY GROUP3 MEETS IN THIS AREA
MTFARM1  FARM ORGANIZATION1 MEETS IN THIS AREA
MTFARM2  FARM ORGANIZATION2 MEETS IN THIS AREA
MTFARM3  FARM ORGANIZATION3 MEETS IN THIS AREA
MTLIT1   MILITARY GROUP1 MEETS IN THIS AREA
MTLIT2   MILITARY GROUP2 MEETS IN THIS AREA
MTLIT3   MILITARY GROUP3 MEETS IN THIS AREA
MTLIT4   MILITARY GROUP4 MEETS IN THIS AREA
MTPROF1  PROFESSIONAL SOCIETY1 MEETS IN THIS AREA
MTPROF2  PROFESSIONAL SOCIETY2 MEETS IN THIS AREA
MTPROF3  PROFESSIONAL SOCIETY3 MEETS IN THIS AREA
MTPROF4  PROFESSIONAL SOCIETY4 MEETS IN THIS AREA
MTPROF5  PROFESSIONAL SOCIETY5 MEETS IN THIS AREA
MTPROF6  PROFESSIONAL SOCIETY6 MEETS IN THIS AREA
MTCHURH1 CHURCH GROUP1 MEETS IN THIS AREA
MTCHURH2 CHURCH GROUP2 MEETS IN THIS AREA
MTCHURH3 CHURCH GROUP3 MEETS IN THIS AREA
MTCHURH4 CHURCH GROUP4 MEETS IN THIS AREA
MTCHURH5 CHURCH GROUP5 MEETS IN THIS AREA
MTCHURH6 CHURCH GROUP6 MEETS IN THIS AREA
MTOTHER1 OTHER GROUP1 MEETS IN THIS AREA
MTOTHER2 OTHER GROUP2 MEETS IN THIS AREA
                                        Page 71                        Index
MTOTHER3 OTHER GROUP3 MEETS IN THIS AREA
MTOTHER4 OTHER GROUP4 MEETS IN THIS AREA
MTOTHER5 OTHER GROUP5 MEETS IN THIS AREA
MTINFRM1 INFORMAL GROUP1 MEETS IN THIS AREA
MTINFRM2 INFORMAL GROUP2 MEETS IN THIS AREA
MTINFRM3 INFORMAL GROUP3 MEETS IN THIS AREA
MTINFRM4 INFORMAL GROUP4 MEETS IN THIS AREA
MTINFRM5 INFORMAL GROUP5 MEETS IN THIS AREA
GRPBOTH1 BOTH BELONG TO THE SAME GROUP ON THE LIST
GRPBOTH2 BOTH BELONG TO THE SAME GROUP ON THE LIST
GRPBOTH3 BOTH BELONG TO THE SAME GROUP ON THE LIST
GRPBOTH4 BOTH BELONG TO THE SAME GROUP ON THE LIST
GRPBOTH5 BOTH BELONG TO THE SAME GROUP ON THE LIST
FRSTMET1 R FIRST MET THE NAMED ALTER IN THE GROUP
FRSTMET2 R FIRST MET THE NAMED ALTER IN THE GROUP
FRSTMET3 R FIRST MET THE NAMED ALTER IN THE GROUP
FRSTMET4 R FIRST MET THE NAMED ALTER IN THE GROUP
FRSTMET5 R FIRST MET THE NAMED ALTER IN THE GROUP
YRSKWN1  YEARS R HAS KNOWN THE NAMED1
YRSKWN2  YEARS R HAS KNOWN THE NAMED2
YRSKWN3  YEARS R HAS KNOWN THE NAMED3
YRSKWN4  YEARS R HAS KNOWN THE NAMED4
YRSKWN5  YEARS R HAS KNOWN THE NAMED5
RELNEG   ANY TURNING POINT WHEN LESS COMMITTED TO RELIGION
NEWSFROM MAIN SOURCE OF INFORMATION ABOUT EVENTS IN THE NEWS
SCIFROM  MAIN SOURCE OF INFORMATION ABOUT SCIENCE AND TECHNOLOGY
SEEKSCI  PROBABLE SOURCE OF INFORMATION ABOUT SCIENTIFIC ISSUES
NEXTGEN  SCIENCE & TECH. GIVE MORE OPPORTUNITIES TO NEXT GENERATION
TOOFAST  SCIENCE MAKES OUR WAY OF LIFE CHANGE TOO FAST
BETTRLFE SCIENCE MAKES OUR LIVES BETTER
ADVFRONT SCI RSCH IS NECESSARY AND SHOULD BE SUPPORTED BY FEDERAL GOVT
SCISPEC  SCIENCE IS TOO CONCERNED WITH THEORY AND SPECULATION
LEADSCI  SHLD PAY ATTNTN ONLY TO THEORY ACCEPTED BY LEADING SCIENTISTS
WHICHSCI INDUSTRY SCIENTISTS LESS RELIABLE THAN UNIVERSITY SCIENTISTS
ASTROLGY EVER READ A HOROSCOPE OR PERSONAL ASTROLOGY REPORT
ASTROSCI ASTROLOGY IS SCIENTIFIC
SCIBNFTS BENEFITS OF SCI RESEARCH OUTWEIGH HARMFUL RESULTS
BALPOS   SCI RESEARCH IS STRONGLY IN FAVOR OF BENEFITS
BALNEG   SCI RESEARCH IS STRONGLY IN FAVOR OF HARMFUL RESULTS
SCISTUDY R HAS CLEAR UNDERSTANDING OF SCIENTIFIC STUDY
SCITEXT  WHAT IT MEANS TO R TO STUDY SCIENTIFICALLY
EXPDESGN BETTER WAY TO TEST DRUG BTW CONTROL AND NON-CONTROL
EXPTEXT  WHY IS IT BETTER TO TEST DRUG THIS WAY
ODDS1    TEST OF KNOWLEDGE ABOUT PROBABLITY1
ODDS2    TEST OF KNOWLEDGE ABOUT PROBABLITY2
HOTCORE  SCI KNOWLEDGE: THE CENTER OF EARTH IS VERY HOT
RADIOACT SCI KNOWLEDGE: ALLRADIOACTIVITY IS MAN-MADE
BOYORGRL SCI KNOWLEDGE: FATHER GENE DECIDES SEX OF BABY
LASERS   SCI KNOWLEDGE: LASERS WORK BY FOCUSING SOUND WAVES
ELECTRON SCI KNOWLEDGE: ELECTRONS ARE SMALLER THAN ATOMS
VIRUSES  SCI KNOWLEDGE: ANTIBIOTICS KILL VIRUSES AS WELL AS BACTERIA
BIGBANG  SCI KNOWLEDGE: THE UNIVERSE BEGAN WITH A HUGE EXPLOSION
                                       Page 72                                       Index
BIGBANG1 ACCORDING TO ASTRONOMERS, UNIVERSE BEGAN WITH A BIG EXPLOSION: TRUE OR FALSE
BIGBANG2 UNIVERSE EXPANDING SINCE IT BEGAN: TRUE OR FALSE
CONDRIFT SCI KNOWLEDGE: THE CONTINENTS HAVE BEEN MOVING
EVOLVED  SCI KNOWLEDGE: HUMAN BEINGS DEVELOPED FROM ANIMALS
EVOLVED1 HUMANS DEVELOPED FROM EARLIER SPECIES: TRUE OR FALSE
EVOLVED2 ELEPHANTS EVOLVED FROM EARLIER SPECIES: TRUE OR FALSE
EARTHSUN SCI KNOWLEDGE: THE EARTH GOES AROUND THE SUN
SOLARREV SCI KNOWLEDGE: HOW LONG THE EARTH GOES AROUND THE SUN
TOMATOES REGULAR TOMATOES NO GENES
INTRHOME INTERNET ACCESS IN R'S HOME
COLDEG1  THE HIGHEST DEGREE R HAVE EARNED
MAJORCOL THE FIELD OF DEGREE R EARNED
COLSCI   R HAS TAKEN ANY COLLEGE-LEVEL SCI COURSE
COLSCINM NUMBER OF COLLEGE-LEVEL SCI COURSES R HAVE TAKEN
HSMATH   THE HIGHEST LEVEL OF MATH R COMPLETED IN HIGH SCHOOL
HSBIO    R EVER TOOK A HIGH SCHOOL BIOLOGY COURSE
HSCHEM   R EVER TOOK A HIGH SCHOOL CHEMISTRY COURSE
HSPHYS   R EVER TOOK A HIGH SCHOOL PHYSICS COURSE
GWSCI    UNDERSTANDING OF GLOBAL WARMING BY ENVIRONMNT SCIENTISTS
GWPOL    UNDERSTANDING OF GLOBAL WARMING BY ELECTED OFFICIALS
GWBIZ    UNDERSTANDING OF GLOBAL WARMING BY BUSINESS LEADERS
SCIAGRGW EXTENT OF AGREEMENT ON GLOBAL WARMING AMG ENV SCIENTISTS
SCIINFGW INFLUENCE ON GLOBAL WARMING POLICY: ENVIRONMNTAL SCIENTISTS
POLINFGW INFLUENCE ON GLOBAL WARMING POLICY: ELECTED OFFICIAL
BIZINFGW INFLUENCE ON GLOBAL WARMING POLICY: BUSINESS LEADER
SCIBSTGW BEST POLICY VS NARROW INTEREST: ENVIRONMENTAL SCIENTIST
POLBSTGW BEST POLICY VS NARROW INTEREST: ELECTED OFFICIAL
BIZBSTGW BEST POLICY VS NARROW INTEREST: BUSINESS LEADER
GASREGS  HOW MUCH R FAVOR REQUIRING TO MAKE CARS USING LESS GASOLINE
SCMED    HOW WELL MEDICAL RESEARCHERS UNDERSTAND STEM CELLS
SCRELIG  HOW WELL RELIGIOUS LEADERS UNDERSTAND STEM CELLS
SCPOL    HOW WELL ELECTED OFFICIALS UNDERSTAND STEM CELLS
MEDAGRSC AGREEMENT BY MED RESEARCHERS ON IMPORTANCE OF STEM CELL RSCH
MEDINFSC INFLUENCE ON FUNDING FOR STEM CELL RSCH: MEDICAL RESEARCHERS
RELINFSC INFLUENCE ON FUNDING FOR STEM CELL RSCH: RELIGIOUS LEADERS
POLINFSC INFLUENCE ON FUNDING FOR STEM CELL RSCH: ELECTED OFFICIALS
MEDBSTSC BEST POLICY ON STEM CELL VS NARROW INTEREST: MED RESEARCHER
RELBSTSC BEST POLICY ON STEM CELL VS NARROW INTEREST: RELIG LEADER
POLBSTSC BEST POLICY ON STEM CELL VS NARROW INTEREST: ELECTED OFFICIAL
SCRESRCH GOVERNMENT SHOULD FUND STEM CELL RESEARCH
TXECO    HOW WELL ECONOMIST KNOWS EFFECT OF REDUCING FED INCOME TAX
TXBIZ    HOW WELL BUSINESS LEADER KNOWS EFFECT OF REDUCING FED INC TAX
TXPOL    HOW WELL ELECTED OFFICIAL KNOWS EFFECT OF REDUCING FED INC TAX
ECOAGREE AGREEMENT BY ECONOMISTS ON EFFECT OF REDUCING FED INC TAX
ECOINFTX INFLUENCE ON REDUCING FED INC TAXBY ECONOMISTS
BIZINFTX INFLUENCE ON REDUCING FED INC TAXBY BUSINESS LEADERS
POLINFTX INFLUENCE ON REDUCING FED INC TAXBY ELECTED OFFICIALS
ECOBSTTX BEST POLICY VS NARROW INTEREST ON FED INC TAX: ECONOMIST
BIZBSTTX BEST POLICY VS NARROW INTEREST ON FED INC TAX: BUSINESS LEADER
POLBSTTX BEST POLICY VS NARROW INTEREST ON FED INC TAX: ELECTED OFFICIAL
GMMED    HOW WELL MED RESEARCHER KNOW RISK BY GENETICALLY MODIFIED FOODS
GMPOL    HOW WELL ELECTED OFFICIAL KNOW RISK BY GENETICALLY MODIFIED FOODS
                                        Page 73                           Index
GMBIZ    HOW WELL BUSINESS LEADER KNOW RISK BY GENETICALLY MODIFIED FOODS
MEDAGRGM MED RESEARCHER: AGREEMENT ON EFFECT OF GENETICALLY MODIFIED FOOD
MEDINFGM INFLUENCE ON RESTRICTING GMF BY MEDICAL RESEARCHER'S
POLINFGM INFLUENCE ON RESTRICTING GMF BY ELECTED OFFICIALS
BIZINFGM INFLUENCE ON RESTRICTING GMF BY BUSINESS LEADERS
MEDBSTGM BEST POLICY ON GMF VS NARROW INTEREST: MEDICAL RESEARCHER
POLBSTGM BEST POLICY ON GMF VS NARROW INTEREST: ELECTED OFFICIAL
BIZBSTGM BEST POLICY ON GMF VS NARROW INTEREST: BUSINESS LEADER
EATGM    R'S VIEW ABOUT EATING GENETICALLY MODIFIED FOODS
SCIIMP1  HOW IMPORTANT: DONE BY SCIENTISTS IN UNIVERSITY SETTINGS
SCIIMP2  HOW IMPORTANT: HAVING ADVANCED DEGREES IN THEIR FIELDS
SCIIMP3  HOW IMPORTANT: CONCLUSION BASED ON SOLID EVIDENCE
SCIIMP4  HOW IMPORTANT: EXAMINING DIFFERENT INTERPRETATION OF RESULTS
SCIIMP5  HOW IMPORTANT: RESULTS CONSISTENT WITH RELIGIOUS BELIEFS
SCIIMP6  HOW IMPORTANT: RESULTS CONSISTENT WITH COMMON SENSE
SCIIMP7  HOW IMPORTANT: REPEATING EXPERIMENT & FINDING SAME RESULT
SCIIMP8  HOW IMPORTANT: RESEARCH TAKES PLACE IN A LABORATORY
SOCSCI   HOW SCIENTIFIC: SOCIOLOGY
PHYSCSCI HOW SCIENTIFIC: PHYSICS
HISTSCI  HOW SCIENTIFIC: HISTORY
ACCNTSCI HOW SCIENTIFIC: ACCOUNTING
BIOSCI   HOW SCIENTIFIC: BIOLOGY
ECONSCI  HOW SCIENTIFIC: ECONOMICS
MEDSCI   HOW SCIENTIFIC: MEDICINE
ENGNRSCI HOW SCIENTIFIC: ENGINEERING
KNWFORGN LEVEL OF R'S INFORMATION: FOREIGN POLICY
KNWECON  LEVEL OF R'S INFORMATION: ECONOMIC POLICY
KNWSCI   LEVEL OF R'S INFORMATION: SCIENCE AND TECHNOLOGY
KNWGW    LEVEL OF R'S INFORMATION: GLOBAL WARMING
KNWPOLAR LEVEL OF R'S INFORMATION: THE NORTH AND SOUTH POLES
TVBEARS  R WOULD CHOOSE TV PROGRAM ABOUT POLAR BEARS
TVINUIT  R WOULD CHOOSE TV PROGRAM ABOUT NATIVE PPL IN THE ARCTIC
TVOZONE  R WOULD CHOOSE TV PROGRAM ABOUT OZONE HOLE OVER THE ANTARCTIC
TVMELTNG R WOULD CHOOSE TV PROGRAM ABOUT POLAR ICE MELTING
TVOIL    R WOULD CHOOSE TV PROGRAM ABOUT OIL DRILLING IN THE ARCTIC
POLARYR1 INTL POLAR YEAR 07-08:R WOULD WATCH A TV PROGRAM
POLARYR2 INTL POLAR YEAR 07-08:R WOULD READ A NEWSPAPER ARTICLE
POLARYR3 INTL POLAR YEAR 07-08:R WOULD READ A MAGAZINE ARTICLE
POLARYR4 INTL POLAR YEAR 07-08:R WOULD GO TO MUSEUM
POLARYR5 INTL POLAR YEAR 07-08:R WOULD WATCH A FEATURE FILM
POLARYR6 INTL POLAR YEAR 07-08:R WOULD READ A BOOK
POLARYR7 INTL POLAR YEAR 07-08:R WOULD VISIT A WEB SITE
POLARYR8 INTL POLAR YEAR 07-08:R WOULD ATTEND A LIVE LECTURE
ICESHEET TRUE-FALSE: THE NORTH POLE IS ON A SHEET OF ICE
NOSUN    TRUE-FALSE: THE SUN NEVER SHINES AT THE SOUTH POLE
INUIT    TRUE-FALSE: INUIT LIVE NORTH OF THE ARCTIC CIRCLE
HUNTBEAR TRUE-FALSE: HUNTING MAKE POLAR BEAR EXTINCT THAN CLIMATE CHANGE
ICECAPS  POLAR ICE CAPS GOT LARGER OR SMALLER OVER LAST 25 YRS
COMORSCI ANTARCTICA SHOULD BE RESERVED OR OPEN
EXTINCT  EFFECT OF GLOBAL WARMING: POLAR BEAR'S BECOME EXTINCT
SEALEVEL EFFECT OF GLOBAL WARMING: SEA LEVEL FLOOD COASTAL AREAS
ARTSEALS EFFECT OF GLOBAL WARMING: ARCTIC SEALS ARE THREATENED
                                        Page 74                                          Index
PENGUINS ANTARCTIC PENGUINS THREATENED
INUITWAY EFFECT OF GLOBAL WARMING: INUIT NO LONGER FOLLOW TRADITIONAL WAY OF LIFE
NOICECAP EFFECT OF GLOBAL WARMING: NORTHERN ICE CAP MELT
CAREMOST MOST CONCERNED POSSIBLE EFFECT OF GLOBAL WARMING
NANOTECH HOW MUCH R HEARD ABOUT NANOTECHNOLOGY
NANOKNW1 TRUE-FALSE: NANOTECHNOLOGY MANIPULATE EXTREMELY SMALL UNITS
NANOKNW2 TRUE-FALSE: NANOSCALE DIFFER FROM SAME MATERIAL AT LARGER SCALE
NANOWILL BENEFIT OF NANOTECHNOLOGY OUTWEIGH HARMFUL RESULTS
NANOBEN  BALANCE WILL BE STRONGLY IN FAVOR OF THE BENEFITS OR SLIGHTLY
NANOHARM BALANCE WILL BE STRONGLY IN FAVOR OF THE BENEFITS OR SLIGHTLY
SCIMODE  WAS SAQ SELF ADMINISTERED OR INTERVIEW ADMINISTERED
INTINTL  INTERESTED IN INTERNATIONAL ISSUES
INTFARM  INTERESTED IN FARM ISSUES
INTEDUC  INTERESTED IN LOCAL SCHOOL ISSUES
INTSCI   INTERESTED IN NEW SCIENTIFIC DISCOVERIES
INTECON  INTERESTED IN ECONOMIC ISSUES
INTTECH  INTERESTED IN TECHNOLOGIES
INTMED   INTERESTED IN MEDICAL DISCOVERIES
INTSPACE INTERESTED IN SPACE EXPLORATION
INTENVIR INTERESTED IN ENVIRONMENTAL ISSUES
INTMIL   INTERESTED IN MILITARY POLICY
SCIINTRO WHICH VERSION OF SCIENCE INTRODUCTION WAS USED
VISART   HOW OFTEN R VISITED ART MUSEUM LAST YEAR
VISNHIST HOW OFTEN R VISITED NATURAL HISTORY MUSEUM LAST YEAR
VISZOO   HOW OFTEN R VISITED ZOOLAST YEAR
VISSCI   HOW OFTEN R VISITED SCIENCE MUSEUM
VISLIB   HOW OFTEN R VISITED PUBLIC LIBRARY LAST YEAR
SCIMATH  QUALITY OF SCIENCE & MATH EDUC IN US IS INADEQUATE
ANSCITST SCIENTISTS SHLD BE ALLOWED TO DO RESEARCH ANIMALS' PAIN & INJURY
MABOYGRL DOES MOM'S GENE DECIDE BABY'S SEX
H2OLIFE  WHAT PROPERTY OF WATER IS MOST IMPORTANT
ANHEAT   WHICH BODILY FEATURES BE BEST SUITED TO A SMALL ANIMAL LIVING IN A COLD CLIMATE
LFTPLANE KEY FACTOR THAT ENABLES AIRPLANE TO LIFT
STORMTXT DO YOU SEE LIGHTNING BEFORE HEARING THUNDER
LITMSTXT WHY LITMUS PAPER DOESN'T CHANGE COLOR IN MIXED SOLUTION
GOLDFISH EXPERIMENT ABOUT GOLDFISH AND TEMPERATURE
SALTH2O  OCEAN WATER FOR VEGETABLES
EROSION  EXAMPLE OF EROSION
GENES    TRAITS ARE TRANSFERRED OVER GENERATION
GILLS    HOW FISH GET OXYGEN
UPBREATH WHY SHORT BREATH AT THE TOP OF A MOUNTAIN
DAYNIGHT WHEN DID MOST ERRORS OCCUR
WEIGHING WHICH IS THE BEST METHOD TO REPORT WEIGHT OF LEAF
SEESAND  WHICH PICTURE SHOWS WHAT SHE SHOULD USE FOR THE 2ND POT
FISHEXP1 WHAT IS SCIENTIST TRYING TO FIND OUT FROM THIS EXPERIMENT
FISHEXP2 WHY DID YOU CHOOSE THAT ANSWER
MOREMPG  CARS USE LESS GASOLINE
POLNUKE  HOW WELL ELECTED OFFICIAL KNOW RISK BY NUCLEAR POWER
BIZNUKE  HOW WELL BUSINESS LEADER KNOW RISK BY NUCLEAR POWER
ENGNUKE  NUCLEAR ENGINEERS UNDERSTAND NUCLEAR POWER
ENGAGRNK ENGINEERS AGREE NUCLEAR POWER
ENHINFNK NUCLEAR ENGINEERS HOW MUCH INFLUENCE
                                        Page 75             Index
POLINFNK ELECTED OFFICIALS HOW MUCH INFLUENCE
BIZINFNK BUSINESS LEADERS HOW MUCH INFLUENCE
ENGBSTNK NUCLEAR ENGINEERS BEST FOR COUNTRY
POLBSTNK ELECTED OFFICIALS BEST FOR COUNTRY
BIZBSTNK BUSINESS LEADERS BEST FOR COUNTRY
NUKEELEC VIEW ABOUT NUCLEAR ENERGY
CLONING  CLONING MAKES IDENTICAL COPY
SCINEWS1 NEWSPAPER PRINTED OR ONLINE
SCINEWS2 MAGAZINE PRINTED OR ONLINE
SCINEWS3 WHERE ONLINE GET INFO
NEWSFRMY WHERE NEWS EVENTS INFO
SCIFROMY WHERE GET SCIENCE AND TECHNOLOGY INFO
SEEKSCIY WHERE GET SCIENCE ISSUE NEWS
SCIINFGO WHERE ONLINE GET INFO
SCIENTDA HAPPY IF DAUGHTER SCIENTIST
SCIENTSN HAPPY IF SON SCIENTIST
SCIENTR  CONSIDER CAREER IN SCIENCE
SCIENTDO KNOW WHAT SCIENTISTS DO
SCIENTAL SCIENTISTS USUALLY WORK ALONE
SCIENTDN SCIENTIFIC WORK DANGEROUS
SCIENTGO SCIENTISTS WORK FOR GOOD OF HUMANITY
SCIENTFU SCIENTISTS DON’T HAVE FUN
SCIENTHE SCIENTISTS HELP SOLVE PROB
SCIENTOD SCIENTISTS ODD AND PECULIAR
SCIENTBE SCIENTISTS WANT TO MAKE LIFE BETTER FOR AVG PERSON
SCIENTRE SCIENTISTS NOT RELIGIOUS
SCIENTWK SCIENTISTS ONLY INTERESTED IN WORK
SCIENTMO SCIENTISTS EARN LESS
SCIENTBR BEING A SCIENTIST BORING
ENGDA    HAPPY IF DAUGHTER ENGINEER
ENGSON   HAPPY IF SON ENGINEER
ENGRESP  CONSIDER WORK IN ENGINEER FIELD
ENGDO    KNOW WHAT ENGINEERS DO
ENGLONE  ENGINEERS USUALLY WORK ALONE
ENGDGR   ENGINEERING WORK DANGEROUS
ENGGOOD  ENGINEERS WORK FOR GOOD OF HUMANITY
ENGFUN   ENGINEERS DON’T HAVE FUN
ENGPROB  ENGINEERS HELP SOLVE PROB
ENGODD   ENGINEERS ODD AND PECULIAR
ENGBTR   ENGINEERS WANT TO MAKE LIFE BETTER FOR AVG PERSON
ENGREL   ENGINEERS NOT RELIGIOUS
ENGINT   ENGINEERS ONLY INTERESTED IN WORK
ENGEARN  ENGINEERS EARN LESS
ENGBRNG  BEING ENGINEER BORING
FARMING  HOW SCIENTIFIC IS FARMING
JOURNLSM HOW SCIENTIFIC IS JOURNALISM
FIREFTNG HOW SCIENTIFIC IS FIREFIGHTING
MARRCOUN HOW SCIENTIFIC IS MARRIAGE COUNSELING
MEDTREAT HOW SCIENTIFIC IS MEDICAL TREATMENT
ARCHITCT HOW SCIENTIFIC IS ARCHITECTURE
LAWENFRC HOW SCIENTIFIC IS LAW ENFORCEMENT
ENGNRING HOW SCIENTIFIC IS ENGINEERING
                                        Page 76                                      Index
SLSMNSHP HOW SCIENTIFIC IS SALESMANSHIP
CMPRGMNG HOW SCIENTIFIC IS COMPUTER PROGRAMMING
FINLCOUN HOW SCIENTIFIC IS FINANCIAL COUNSELING
BUYVALUE PERCENT OF COMPANY STOCK R BOUGHT FROM OWN MONEY
OPS2005  COMPANY GRANTED R STOCK OPTIONS IN 2005
EXTR2005 RECEIVED PERFORMANCE BASED PAYMENT IN 2005
COMPWAGE ANNUAL WAGES IN PREVIOUS YEAR WERE HIGHER THAN SAME JOBS IN OTHER COMPANIES
TALKTEAM IF EMPLOYEE NOT WORKING: TALK DIRECTLY TO THE EMPLOYEE
NUMORG   NUMBER OF PEOPLE WORKING IN ORGANIZATION AT ALL LOCATIONS
EMPINPUT R INVOLVED IN ANY TASK FORCE FOR DECISION-MAKING
SLFMANGD R INVOLVED IN A SELF-MANAGED TEAM
EMPTRAIN RECEIVED FORMAL TRAINING FROM EMPLOYER
WEALTH   TOTAL WEALTH OF RESPONDENT
ESOP     R IS MEMBER OF ESOP
DEFPENSN R HAS DEFINED BENEFIT PENSION PLAN
TRDESTCK COMPANY STOCK PUBLICLY TRADED
BUYESOP  DOES EMPLOYEE OWNERSHIP MATTER WHEN R THINKS ABOUT BUYING FROM A COMPANY
ESOPNOT  WOULD R RATHER WORK FOR A COMPANY WITH AN ESOP OR CASH SHARING
COMPANY  WHICH COMPANY WOULD R PREFER TO WORK FOR
VIGLAB06 X IS EXPERIENCING ALCHL DEPENDENCEDEPRESSION SCHIZOPHRENIA
MHTRTOTH R PERSONALLY HAS KNOWN SOMEONE WHO RECEIVED TREATMENT
MHOTHYOU HOW MUCH DISTRESS HIS MENTAL HEALTH PROBLEM CAUSED R
MHOTHREL RESULT OF MENTAL HEALTH PROBLEM TO RELATIONSHIP WITH HIM
SEEMHPUB HOW FREQUENTLY R SEES SOMEONE MENTALLY ILL IN PUBLIC
GESTTALK HOW OFTEN R SEE PEOPLE MAKING STRANGE GESTURE IN PUBLIC
AVOIDMH  R CHANGED SHOPPING PLACE DUE TO PRESENCE OF MENTALLY ILL PPL
NUMKNOWN VARIABLE THAT DRIVES SKIPS IN MODULE
ACQKEVIN NUMBER OF KEVIN R IS ACQUAINTED WITH
ACQKAREN NUMBER OF KAREN R IS ACQUAINTED WITH
